,ids,gender,age,ethnicity
0,220,0. Male,50,Black
1,1662,1. Female,25,Asian
2,2086,0. Male,52,White
3,2103,0. Male,84,Black
4,2187,0. Male,85,Asian
5,2215,1. Female,27,White
6,2441,1. Female,55,White
7,2449,0. Male,76,Other
8,2530,0. Male,43,White
9,2541,1. Female,78,White
10,2571,0. Male,35,White
11,2669,0. Male,91,White
12,2772,1. Female,33,White
13,2855,1. Female,81,White
14,2866,1. Female,84,Hispanic
15,2878,1. Female,43,Other
16,2968,1. Female,42,Black
17,3035,0. Male,26,Black
18,3138,0. Male,33,White
19,3204,0. Male,58,Other
20,3225,1. Female,35,White
21,3257,0. Male,79,White
22,3289,1. Female,75,White
23,3317,1. Female,54,White
24,3364,0. Male,19,Hispanic
25,3389,0. Male,38,White
26,3438,1. Female,51,Black
27,3442,1. Female,52,White
28,3578,0. Male,21,White
29,3599,0. Male,31,Black
30,3633,0. Male,49,White
31,3673,0. Male,37,White
32,3698,0. Male,34,White
33,3699,1. Female,43,White
34,3786,0. Male,76,
35,3788,0. Male,58,White
36,3795,1. Female,57,White
37,3802,0. Male,46,White
38,3833,1. Female,52,White
39,3948,0. Male,19,White
40,3953,0. Male,65,White
41,3976,0. Male,83,White
42,4021,1. Female,55,Black
43,4102,1. Female,90,Black
44,4146,0. Male,79,White
45,4158,1. Female,44,Black
46,4159,0. Male,23,White
47,4277,1. Female,64,Other
48,4305,1. Female,65,Black
49,4312,0. Male,69,White
50,4317,1. Female,72,White
51,4349,0. Male,78,White
52,4357,1. Female,82,Black
53,4397,0. Male,33,White
54,4417,0. Male,35,White
55,4471,1. Female,82,Hispanic
56,4489,0. Male,86,Hispanic
57,4495,0. Male,34,White
58,4544,1. Female,41,White
59,4573,1. Female,82,White
60,4576,0. Male,23,White
61,4699,0. Male,83,Asian
62,4726,1. Female,72,White
63,4759,0. Male,19,White
64,4786,0. Male,29,White
65,4808,0. Male,40,White
66,4857,1. Female,27,Black
67,4932,1. Female,20,White
68,5056,1. Female,69,White
69,5111,0. Male,40,Black
70,5117,1. Female,35,White
71,5194,0. Male,60,White
72,5195,0. Male,76,Black
